   10000301  7.36E-08     0.644     0.000     0.000     0.000 100000
 REAC,CROSS(mb),B. MOM,  A1,    A2,    A3, # EVENTS
      95495       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809    0.0004    0.6158 14
   2   -0.1809   -0.0004    0.0287614
      95496       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761    0.0003    0.6173 14
   2   -0.1761   -0.0003    0.0271614
      95497       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1762    0.0000    0.6173 14
   2    0.1762   -0.0000    0.0272614
      95498       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1819    0.0008    0.6155 14
   2   -0.1819   -0.0008    0.0290614
      95499       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809    0.0002    0.6158 14
   2   -0.1809   -0.0002    0.0287614
      95500       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1804   -0.0008    0.6159 14
   2   -0.1804    0.0008    0.0285614
      95501       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1775   -0.0001    0.6169 14
   2   -0.1775    0.0001    0.0276614
      95502       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1799    0.0007    0.6161 14
   2   -0.1799   -0.0007    0.0284614
      95503       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767   -0.0002    0.6171 14
   2   -0.1767    0.0002    0.0273614
      95504       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1785   -0.0004    0.6165 14
   2   -0.1785    0.0004    0.0279614
      95505       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1808    0.0008    0.6158 14
   2   -0.1808   -0.0008    0.0286614
      95506       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1787   -0.0006    0.6165 14
   2   -0.1787    0.0006    0.0280614
      95507       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1818   -0.0005    0.6155 14
   2   -0.1818    0.0005    0.0290614
      95508       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805   -0.0007    0.6159 14
   2   -0.1805    0.0007    0.0285614
      95509       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784   -0.0008    0.6166 14
   2   -0.1784    0.0008    0.0279614
      95510       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796   -0.0002    0.6162 14
   2   -0.1796    0.0002    0.0283614
      95511       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1780    0.0002    0.6167 14
   2   -0.1780   -0.0002    0.0277614
      95512       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767   -0.0005    0.6171 14
   2   -0.1767    0.0005    0.0273614
      95513       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805   -0.0001    0.6159 14
   2   -0.1805    0.0001    0.0285614
      95514       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1780    0.0002    0.6167 14
   2   -0.1780   -0.0002    0.0277614
      95515       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1781   -0.0001    0.6167 14
   2   -0.1781    0.0001    0.0278614
      95516       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1777    0.0001    0.6168 14
   2   -0.1777   -0.0001    0.0276614
      95517       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1786   -0.0004    0.6165 14
   2   -0.1786    0.0004    0.0279614
      95518       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802    0.0004    0.6160 14
   2   -0.1802   -0.0004    0.0285614
      95519       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767   -0.0006    0.6171 14
   2   -0.1767    0.0006    0.0273614
      95520       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1775   -0.0007    0.6168 14
   2   -0.1775    0.0007    0.0276614
      95521       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1821    0.0003    0.6154 14
   2   -0.1821   -0.0003    0.0291614
      95522       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1818    0.0008    0.6155 14
   2   -0.1818   -0.0008    0.0290614
      95523       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1782   -0.0007    0.6166 14
   2    0.1782    0.0007    0.0278614
      95524       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1799   -0.0005    0.6161 14
   2    0.1799    0.0005    0.0284614
      95525       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1791    0.0007    0.6163 14
   2   -0.1791   -0.0007    0.0281614
      95526       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761    0.0001    0.6173 14
   2   -0.1761   -0.0001    0.0271614
      95527       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809    0.0002    0.6158 14
   2   -0.1809   -0.0002    0.0287614
      95528       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1817    0.0009    0.6155 14
   2   -0.1817   -0.0009    0.0289614
      95529       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765    0.0004    0.6172 14
   2   -0.1765   -0.0004    0.0273614
      95530       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1769   -0.0002    0.6170 14
   2   -0.1769    0.0002    0.0274614
      95531       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1791    0.0003    0.6163 14
   2   -0.1791   -0.0003    0.0281614
      95532       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1770   -0.0000    0.6170 14
   2   -0.1770    0.0000    0.0274614
      95533       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1785    0.0001    0.6165 14
   2   -0.1785   -0.0001    0.0279614
      95534       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1781    0.0003    0.6167 14
   2   -0.1781   -0.0003    0.0278614
      95535       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794    0.0003    0.6163 14
   2   -0.1794   -0.0003    0.0282614
      95536       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797   -0.0000    0.6162 14
   2   -0.1797    0.0000    0.0283614
      95537       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765   -0.0003    0.6172 14
   2   -0.1765    0.0003    0.0273614
      95538       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802    0.0004    0.6160 14
   2   -0.1802   -0.0004    0.0285614
      95539       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1771    0.0001    0.6170 14
   2   -0.1771   -0.0001    0.0275614
      95540       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1795    0.0009    0.6162 14
   2   -0.1795   -0.0009    0.0282614
      95541       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809   -0.0000    0.6158 14
   2   -0.1809    0.0000    0.0287614
      95542       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1813    0.0001    0.6157 14
   2   -0.1813   -0.0001    0.0288614
      95543       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1782    0.0008    0.6166 14
   2    0.1782   -0.0008    0.0278614
      95544       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1814   -0.0004    0.6156 14
   2   -0.1814    0.0004    0.0288614
      95545       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1806   -0.0005    0.6159 14
   2   -0.1806    0.0005    0.0286614
      95546       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802    0.0007    0.6160 14
   2   -0.1802   -0.0007    0.0284614
      95547       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1791    0.0002    0.6164 14
   2   -0.1791   -0.0002    0.0281614
      95548       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1771    0.0001    0.6170 14
   2   -0.1771   -0.0001    0.0275614
      95549       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1776    0.0005    0.6168 14
   2   -0.1776   -0.0005    0.0276614
      95550       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767   -0.0003    0.6171 14
   2   -0.1767    0.0003    0.0273614
      95551       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1819    0.0006    0.6154 14
   2   -0.1819   -0.0006    0.0290614
      95552       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796    0.0001    0.6162 14
   2   -0.1796   -0.0001    0.0283614
      95553       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1782    0.0002    0.6166 14
   2   -0.1782   -0.0002    0.0278614
      95554       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797   -0.0003    0.6162 14
   2   -0.1797    0.0003    0.0283614
      95555       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1793    0.0004    0.6163 14
   2   -0.1793   -0.0004    0.0281614
      95556       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1814   -0.0003    0.6156 14
   2   -0.1814    0.0003    0.0288614
      95557       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1772    0.0004    0.6170 14
   2   -0.1772   -0.0004    0.0275614
      95558       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797    0.0006    0.6162 14
   2   -0.1797   -0.0006    0.0283614
      95559       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1786    0.0008    0.6165 14
   2   -0.1786   -0.0008    0.0279614
      95560       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1790    0.0004    0.6164 14
   2   -0.1790   -0.0004    0.0281614
      95561       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794    0.0003    0.6163 14
   2   -0.1794   -0.0003    0.0282614
      95562       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1769    0.0007    0.6170 14
   2   -0.1769   -0.0007    0.0274614
      95563       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1819   -0.0005    0.6154 14
   2   -0.1819    0.0005    0.0290614
      95564       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1761   -0.0007    0.6173 14
   2    0.1761    0.0007    0.0271614
      95565       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1768   -0.0003    0.6171 14
   2   -0.1768    0.0003    0.0274614
      95566       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800   -0.0002    0.6160 14
   2   -0.1800    0.0002    0.0284614
      95567       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1815    0.0005    0.6156 14
   2   -0.1815   -0.0005    0.0289614
      95568       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811    0.0005    0.6157 14
   2   -0.1811   -0.0005    0.0287614
      95569       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810   -0.0003    0.6157 14
   2   -0.1810    0.0003    0.0287614
      95570       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1795   -0.0009    0.6162 14
   2   -0.1795    0.0009    0.0282614
      95571       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763   -0.0002    0.6172 14
   2   -0.1763    0.0002    0.0272614
      95572       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809    0.0002    0.6158 14
   2   -0.1809   -0.0002    0.0287614
      95573       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1812    0.0003    0.6157 14
   2   -0.1812   -0.0003    0.0288614
      95574       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1819   -0.0002    0.6154 14
   2   -0.1819    0.0002    0.0290614
      95575       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1762   -0.0001    0.6173 14
   2   -0.1762    0.0001    0.0272614
      95576       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1804    0.0003    0.6159 14
   2   -0.1804   -0.0003    0.0285614
      95577       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763    0.0007    0.6172 14
   2   -0.1763   -0.0007    0.0272614
      95578       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1818    0.0008    0.6155 14
   2   -0.1818   -0.0008    0.0290614
      95579       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811   -0.0001    0.6157 14
   2   -0.1811    0.0001    0.0287614
      95580       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1802   -0.0007    0.6160 14
   2    0.1802    0.0007    0.0285614
      95581       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1783    0.0008    0.6166 14
   2   -0.1783   -0.0008    0.0278614
      95582       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765   -0.0000    0.6172 14
   2   -0.1765    0.0000    0.0273614
      95583       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1783   -0.0003    0.6166 14
   2   -0.1783    0.0003    0.0278614
      95584       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1773    0.0005    0.6169 14
   2   -0.1773   -0.0005    0.0275614
      95585       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761   -0.0001    0.6173 14
   2   -0.1761    0.0001    0.0271614
      95586       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784   -0.0002    0.6166 14
   2   -0.1784    0.0002    0.0279614
      95587       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1820   -0.0002    0.6154 14
   2   -0.1820    0.0002    0.0290614
      95588       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1783   -0.0008    0.6166 14
   2   -0.1783    0.0008    0.0278614
      95589       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1774    0.0001    0.6169 14
   2   -0.1774   -0.0001    0.0276614
      95590       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1808   -0.0001    0.6158 14
   2   -0.1808    0.0001    0.0287614
      95591       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1802    0.0006    0.6160 14
   2    0.1802   -0.0006    0.0284614
      95592       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797   -0.0002    0.6161 14
   2   -0.1797    0.0002    0.0283614
      95593       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1820    0.0005    0.6154 14
   2   -0.1820   -0.0005    0.0290614
      95594       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789    0.0002    0.6164 14
   2   -0.1789   -0.0002    0.0280614
      95595       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1813    0.0006    0.6156 14
   2   -0.1813   -0.0006    0.0288614
      95596       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1792    0.0008    0.6163 14
   2   -0.1792   -0.0008    0.0281614
      95597       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1777   -0.0006    0.6168 14
   2   -0.1777    0.0006    0.0277614
      95598       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1795    0.0005    0.6162 14
   2   -0.1795   -0.0005    0.0282614
      95599       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796   -0.0003    0.6162 14
   2   -0.1796    0.0003    0.0282614
      95600       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1814   -0.0001    0.6156 14
   2    0.1814    0.0001    0.0288614
      95601       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811    0.0003    0.6157 14
   2   -0.1811   -0.0003    0.0287614
      95602       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1806   -0.0005    0.6159 14
   2    0.1806    0.0005    0.0286614
      95603       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1775   -0.0006    0.6169 14
   2   -0.1775    0.0006    0.0276614
      95604       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784   -0.0007    0.6166 14
   2   -0.1784    0.0007    0.0279614
      95605       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800    0.0005    0.6161 14
   2   -0.1800   -0.0005    0.0284614
      95606       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1769    0.0005    0.6170 14
   2   -0.1769   -0.0005    0.0274614
      95607       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1809    0.0007    0.6158 14
   2    0.1809   -0.0007    0.0287614
      95608       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1764    0.0005    0.6172 14
   2   -0.1764   -0.0005    0.0272614
      95609       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765   -0.0002    0.6172 14
   2   -0.1765    0.0002    0.0273614
      95610       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1787    0.0008    0.6165 14
   2    0.1787   -0.0008    0.0280614
      95611       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1806    0.0007    0.6159 14
   2   -0.1806   -0.0007    0.0286614
      95612       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1808    0.0008    0.6158 14
   2   -0.1808   -0.0008    0.0286614
      95613       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1772   -0.0005    0.6170 14
   2   -0.1772    0.0005    0.0275614
      95614       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1806    0.0008    0.6159 14
   2   -0.1806   -0.0008    0.0286614
      95615       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1790   -0.0008    0.6164 14
   2   -0.1790    0.0008    0.0281614
      95616       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1786   -0.0003    0.6165 14
   2   -0.1786    0.0003    0.0279614
      95617       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1804   -0.0003    0.6159 14
   2   -0.1804    0.0003    0.0285614
      95618       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810   -0.0009    0.6157 14
   2   -0.1810    0.0009    0.0287614
      95619       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763   -0.0008    0.6172 14
   2   -0.1763    0.0008    0.0272614
      95620       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1787    0.0002    0.6165 14
   2   -0.1787   -0.0002    0.0280614
      95621       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1806    0.0009    0.6159 14
   2   -0.1806   -0.0009    0.0286614
      95622       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1798   -0.0001    0.6161 14
   2   -0.1798    0.0001    0.0283614
      95623       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1821    0.0002    0.6154 14
   2   -0.1821   -0.0002    0.0291614
      95624       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767   -0.0004    0.6171 14
   2   -0.1767    0.0004    0.0273614
      95625       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1812   -0.0003    0.6157 14
   2   -0.1812    0.0003    0.0288614
      95626       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1766   -0.0002    0.6171 14
   2   -0.1766    0.0002    0.0273614
      95627       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1765    0.0001    0.6172 14
   2    0.1765   -0.0001    0.0273614
      95628       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796    0.0005    0.6162 14
   2   -0.1796   -0.0005    0.0283614
      95629       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1766    0.0007    0.6172 14
   2   -0.1766   -0.0007    0.0273614
      95630       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1776   -0.0004    0.6168 14
   2   -0.1776    0.0004    0.0276614
      95631       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1800   -0.0009    0.6160 14
   2    0.1800    0.0009    0.0284614
      95632       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1818    0.0007    0.6155 14
   2   -0.1818   -0.0007    0.0290614
      95633       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1788    0.0005    0.6164 14
   2   -0.1788   -0.0005    0.0280614
      95634       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802    0.0004    0.6160 14
   2   -0.1802   -0.0004    0.0284614
      95635       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763   -0.0007    0.6172 14
   2   -0.1763    0.0007    0.0272614
      95636       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1816    0.0002    0.6155 14
   2    0.1816   -0.0002    0.0289614
      95637       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1816    0.0007    0.6156 14
   2   -0.1816   -0.0007    0.0289614
      95638       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1775    0.0006    0.6169 14
   2    0.1775   -0.0006    0.0276614
      95639       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1792   -0.0004    0.6163 14
   2   -0.1792    0.0004    0.0281614
      95640       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1776   -0.0004    0.6168 14
   2   -0.1776    0.0004    0.0276614
      95641       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1818    0.0001    0.6155 14
   2   -0.1818   -0.0001    0.0290614
      95642       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1775    0.0004    0.6169 14
   2   -0.1775   -0.0004    0.0276614
      95643       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1786    0.0003    0.6165 14
   2   -0.1786   -0.0003    0.0279614
      95644       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1773   -0.0006    0.6169 14
   2   -0.1773    0.0006    0.0275614
      95645       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1769    0.0007    0.6170 14
   2   -0.1769   -0.0007    0.0274614
      95646       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1814   -0.0002    0.6156 14
   2    0.1814    0.0002    0.0288614
      95647       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1792   -0.0002    0.6163 14
   2   -0.1792    0.0002    0.0281614
      95648       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1782   -0.0009    0.6166 14
   2   -0.1782    0.0009    0.0278614
      95649       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1773    0.0003    0.6169 14
   2   -0.1773   -0.0003    0.0275614
      95650       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1770    0.0005    0.6170 14
   2   -0.1770   -0.0005    0.0274614
      95651       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1763   -0.0007    0.6173 14
   2    0.1763    0.0007    0.0272614
      95652       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1807    0.0006    0.6158 14
   2   -0.1807   -0.0006    0.0286614
      95653       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1780    0.0008    0.6167 14
   2   -0.1780   -0.0008    0.0277614
      95654       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1792   -0.0003    0.6163 14
   2   -0.1792    0.0003    0.0281614
      95655       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1764    0.0005    0.6172 14
   2   -0.1764   -0.0005    0.0272614
      95656       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809    0.0004    0.6158 14
   2   -0.1809   -0.0004    0.0287614
      95657       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1782    0.0001    0.6166 14
   2   -0.1782   -0.0001    0.0278614
      95658       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1819    0.0008    0.6154 14
   2   -0.1819   -0.0008    0.0290614
      95659       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1821   -0.0007    0.6154 14
   2   -0.1821    0.0007    0.0291614
      95660       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1818   -0.0005    0.6155 14
   2   -0.1818    0.0005    0.0290614
      95661       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1799   -0.0000    0.6161 14
   2    0.1799    0.0000    0.0283614
      95662       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789    0.0007    0.6164 14
   2   -0.1789   -0.0007    0.0280614
      95663       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1808    0.0001    0.6158 14
   2   -0.1808   -0.0001    0.0286614
      95664       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784    0.0000    0.6166 14
   2   -0.1784   -0.0000    0.0279614
      95665       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800    0.0007    0.6161 14
   2   -0.1800   -0.0007    0.0284614
      95666       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1805    0.0001    0.6159 14
   2    0.1805   -0.0001    0.0286614
      95667       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1801   -0.0002    0.6160 14
   2   -0.1801    0.0002    0.0284614
      95668       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789   -0.0006    0.6164 14
   2   -0.1789    0.0006    0.0280614
      95669       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1764   -0.0004    0.6172 14
   2   -0.1764    0.0004    0.0272614
      95670       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1807   -0.0004    0.6158 14
   2   -0.1807    0.0004    0.0286614
      95671       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763    0.0009    0.6172 14
   2   -0.1763   -0.0009    0.0272614
      95672       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1776    0.0003    0.6168 14
   2    0.1776   -0.0003    0.0276614
      95673       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1813   -0.0008    0.6156 14
   2   -0.1813    0.0008    0.0288614
      95674       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765   -0.0009    0.6172 14
   2   -0.1765    0.0009    0.0273614
      95675       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794    0.0005    0.6163 14
   2   -0.1794   -0.0005    0.0282614
      95676       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802   -0.0005    0.6160 14
   2   -0.1802    0.0005    0.0284614
      95677       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1808    0.0006    0.6158 14
   2   -0.1808   -0.0006    0.0286614
      95678       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1813    0.0005    0.6156 14
   2   -0.1813   -0.0005    0.0288614
      95679       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1779    0.0006    0.6167 14
   2   -0.1779   -0.0006    0.0277614
      95680       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1760    0.0008    0.6173 14
   2   -0.1760   -0.0008    0.0271614
      95681       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789   -0.0003    0.6164 14
   2   -0.1789    0.0003    0.0280614
      95682       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1777    0.0002    0.6168 14
   2   -0.1777   -0.0002    0.0276614
      95683       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1785    0.0008    0.6166 14
   2   -0.1785   -0.0008    0.0279614
      95684       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810   -0.0003    0.6157 14
   2   -0.1810    0.0003    0.0287614
      95685       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1765   -0.0002    0.6172 14
   2    0.1765    0.0002    0.0273614
      95686       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1804    0.0003    0.6159 14
   2   -0.1804   -0.0003    0.0285614
      95687       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1814   -0.0003    0.6156 14
   2   -0.1814    0.0003    0.0289614
      95688       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763   -0.0008    0.6172 14
   2   -0.1763    0.0008    0.0272614
      95689       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1764    0.0007    0.6172 14
   2   -0.1764   -0.0007    0.0272614
      95690       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797   -0.0006    0.6162 14
   2   -0.1797    0.0006    0.0283614
      95691       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1785    0.0009    0.6166 14
   2   -0.1785   -0.0009    0.0279614
      95692       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1768    0.0000    0.6171 14
   2   -0.1768   -0.0000    0.0274614
      95693       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794   -0.0001    0.6162 14
   2   -0.1794    0.0001    0.0282614
      95694       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761    0.0002    0.6173 14
   2   -0.1761   -0.0002    0.0271614
      95695       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1783   -0.0002    0.6166 14
   2   -0.1783    0.0002    0.0278614
      95696       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1791    0.0002    0.6164 14
   2   -0.1791   -0.0002    0.0281614
      95697       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810    0.0002    0.6157 14
   2   -0.1810   -0.0002    0.0287614
      95698       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797    0.0008    0.6162 14
   2   -0.1797   -0.0008    0.0283614
      95699       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1800   -0.0008    0.6161 14
